"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1500000US240317001053","Block Group 3; Census Tract 7001.05; Montgomery County; Maryland","1154","259","722","232","671","246","51","53","51","53","0","14","0","14","0","14","0","14","114","86","28","52","86","75","0","14","0","14","0","14","0","14","0","14","0","14","0","14","29","33","289","145",
"1500000US240317002041","Block Group 1; Census Tract 7002.04; Montgomery County; Maryland","1003","260","652","139","567","126","85","68","85","68","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","13","0","14","341","200",
"1500000US240317002042","Block Group 2; Census Tract 7002.04; Montgomery County; Maryland","249","80","199","72","199","72","0","14","0","14","0","14","0","14","0","14","0","14","15","15","10","12","5","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","35","23",
"1500000US240317002061","Block Group 1; Census Tract 7002.06; Montgomery County; Maryland","1074","323","674","231","531","179","143","99","107","89","36","47","0","14","0","14","0","14","68","47","24","28","44","33","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","17","322","183",
"1500000US240317002062","Block Group 2; Census Tract 7002.06; Montgomery County; Maryland","796","503","737","508","611","468","126","108","30","44","96","111","0","14","0","14","0","14","9","16","0","14","0","14","9","16","0","14","0","14","0","14","0","14","0","14","0","14","0","14","50","40",
"1500000US240317002063","Block Group 3; Census Tract 7002.06; Montgomery County; Maryland","1510","316","903","269","779","237","124","86","22","28","40","57","9","15","0","14","53","68","96","70","9","13","78","71","9","15","0","14","0","14","0","14","0","14","0","14","0","14","30","52","481","160",
"1500000US240317002071","Block Group 1; Census Tract 7002.07; Montgomery County; Maryland","1764","403","1504","391","1394","390","110","70","110","70","0","14","0","14","0","14","0","14","14","20","14","20","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","15","236","109",
"1500000US240317002072","Block Group 2; Census Tract 7002.07; Montgomery County; Maryland","1380","289","1002","236","897","219","105","87","93","84","12","20","0","14","0","14","0","14","17","20","0","14","17","20","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","361","151",
"1500000US240317002081","Block Group 1; Census Tract 7002.08; Montgomery County; Maryland","492","127","372","99","334","93","38","34","11","14","27","29","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","5","0","14","117","64",
"1500000US240317002082","Block Group 2; Census Tract 7002.08; Montgomery County; Maryland","689","123","547","125","516","121","31","25","20","22","6","9","0","14","5","7","0","14","15","16","6","9","9","13","0","14","0","14","0","14","0","14","0","14","0","14","19","22","0","14","108","52",
"1500000US240317002091","Block Group 1; Census Tract 7002.09; Montgomery County; Maryland","1412","360","810","215","804","216","6","11","0","14","0","14","0","14","0","14","6","11","32","40","24","37","8","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","570","225",
"1500000US240317002092","Block Group 2; Census Tract 7002.09; Montgomery County; Maryland","754","384","581","369","557","365","24","27","24","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","173","136",
